feature,importance,source
conf_a_median,0.0014728091001957506,extra_trees
conf_b_peak_to_mean,0.0014722685751511378,extra_trees
flow_dy_norm_per_sec_last,0.0014719410443334885,extra_trees
det_dx_signed_auc,0.001470935064020961,extra_trees
roi_available_time_to_abs_peak,0.0014684682780260175,extra_trees
det_vy_accel_jerk_min,0.001466538505777374,extra_trees
flow_dy_mean_per_sec_median,0.001465328761359289,extra_trees
flow_dy_mean_per_sec_peak_to_mean,0.0014572911500828221,extra_trees
det_vy_norm_per_sec_last,0.0014435692040537448,extra_trees
flow_mag_mean_last,0.0014433869994712708,extra_trees
flow_dy_accel_first,0.0014328696299988177,extra_trees
flow_mag_max_mean,0.001431710334257419,extra_trees
det_speed_norm_per_sec_max,0.0014272650069569646,extra_trees
conf_b_p90,0.001426458509886684,extra_trees
flow_dx_norm_per_sec_first,0.001425559939438161,extra_trees
conf_b_energy,0.0014227832201910435,extra_trees
det_speed_norm_per_sec_slope_first_last,0.0014213895752017236,extra_trees
roi_height_slope_first_last,0.0014210193925003752,extra_trees
det_vy_accel_auc,0.0014162665453358548,extra_trees
roi_area_delta,0.0014144038209053132,extra_trees
flow_dy_mean_per_sec_mean,0.0014136161733164468,extra_trees
det_vy_accel_jerk_first,0.001411638482993185,extra_trees
flow_mag_mean_delta,0.0014108982981486649,extra_trees
det_dy_last,0.0014081823253579793,extra_trees
det_speed_delta,0.0014004420325913962,extra_trees
roi_aspect_p10,0.0013991505964841698,extra_trees
flow_dx_norm_per_sec_p75,0.0013979477467819337,extra_trees
roi_width_abs_mean,0.001394860132075572,extra_trees
conf_b_delta,0.0013923582053863557,extra_trees
det_dy_auc,0.0013904338938926797,extra_trees
roi_available_peak_to_mean,0.0013901191121750177,extra_trees
roi_area_abs_mean,0.001387853900292312,extra_trees
flow_mag_norm_per_sec_slope_first_last,0.0013878499075183795,extra_trees
conf_a_p25,0.0013849058112660026,extra_trees
roi_height_max,0.0013831472108754362,extra_trees
det_vy_accel_median,0.0013765399311299993,extra_trees
det_vy_accel_first,0.0013743710568541643,extra_trees
flow_mag_std_p90,0.0013690190289832804,extra_trees
any_detected_time_to_abs_peak,0.0013665601586588228,extra_trees
flow_dy_accel_jerk_mean,0.0013654262515916875,extra_trees
det_speed_accel_abs_max,0.0013651563605963847,extra_trees
det_dy_abs_mean,0.0013642621011806812,extra_trees
flow_dy_accel_jerk_median,0.00136330093843304,extra_trees
conf_b_median,0.0013553395986907568,extra_trees
roi_height_p75,0.00135123826092595,extra_trees
det_speed_accel_jerk_last,0.001350913884741999,extra_trees
flow_dy_mean_per_sec_p25,0.001349058539644009,extra_trees
flow_mag_norm_per_sec_last,0.0013486490725150078,extra_trees
roi_area_signed_auc,0.0013447804153463847,extra_trees
det_dx_first,0.0013443693076708473,extra_trees
flow_dy_accel_median,0.0013361123887856686,extra_trees
det_vx_norm_per_sec_p90,0.001327911264136062,extra_trees
det_dx_last,0.0013241802700764414,extra_trees
det_dx_peak_to_mean,0.0013183156219406327,extra_trees
flow_mag_std_auc,0.0013138351874290792,extra_trees
roi_aspect_abs_mean,0.0013127796341662118,extra_trees
roi_aspect_range,0.0013113281259256194,extra_trees
det_vy_accel_max,0.0013063620661402737,extra_trees
roi_width_first,0.001305595669573699,extra_trees
det_vy_accel_jerk_p75,0.001305583132383761,extra_trees
conf_a_abs_max,0.0013053323910256795,extra_trees
conf_b_slope_first_last,0.0013045875712566423,extra_trees
flow_dy_norm_per_sec_abs_max,0.0013039860483481144,extra_trees
flow_mag_mean_per_sec_slope_first_last,0.0012984782217650135,extra_trees
det_vy_accel_p25,0.0012972902813009998,extra_trees
det_vy_accel_jerk_delta,0.0012955574952894001,extra_trees
roi_area_p25,0.0012899010940749767,extra_trees
det_vy_accel_jerk_median,0.0012897648913137024,extra_trees
det_vy_accel_jerk_energy,0.001286165772193925,extra_trees
det_vx_norm_per_sec_std,0.0012858153140057613,extra_trees
flow_dy_mean_per_sec_p75,0.001284472248201077,extra_trees
conf_a_mean,0.0012818839236257665,extra_trees
roi_area_slope_first_last,0.0012766784603094451,extra_trees
flow_mag_accel_mean,0.0012763398259981137,extra_trees
det_speed_accel_jerk_p90,0.001274160170681776,extra_trees
det_speed_accel_jerk_signed_auc,0.0012684989153785857,extra_trees
det_vy_accel_jerk_auc,0.0012678695732546502,extra_trees
flow_dy_accel_jerk_p25,0.0012626858202810926,extra_trees
flow_mag_max_abs_mean,0.0012545389334992516,extra_trees
det_speed_p90,0.0012543141407995247,extra_trees
flow_dx_norm_per_sec_last,0.0012538909404961715,extra_trees
flow_down_up_ratio,0.001250526377096744,extra_trees
det_vy_accel_energy,0.0012492801986263079,extra_trees
det_speed_accel_jerk_abs_mean,0.0012471522007833397,extra_trees
flow_mag_accel_jerk_peak_to_mean,0.0012441900537527022,extra_trees
roi_width_energy,0.0012370138637544253,extra_trees
roi_aspect_std,0.001234320309614467,extra_trees
det_dy_energy,0.0012286987154197138,extra_trees
flow_mag_mean_peak_to_mean,0.0012280463940106583,extra_trees
conf_a_std,0.0012270768519720315,extra_trees
det_speed_range,0.0012225585001274656,extra_trees
roi_height_first,0.001217061550491826,extra_trees
flow_mag_accel_signed_auc,0.0012144452982714483,extra_trees
flow_mag_max_median,0.001213016397623857,extra_trees
conf_a_range,0.001211601883835538,extra_trees
det_vx_norm_per_sec_last,0.0012102585402309022,extra_trees
flow_mag_mean_p25,0.0012087521349007672,extra_trees
det_speed_accel_jerk_std,0.0012067192355120914,extra_trees
det_speed_max,0.0012060951321961886,extra_trees
det_speed_norm_per_sec_energy,0.0012048503691335045,extra_trees
det_speed_accel_p10,0.001199572508885411,extra_trees
conf_a_p90,0.001199370331356495,extra_trees
det_speed_accel_delta,0.0011992756183698437,extra_trees
conf_b_range,0.001197630891240916,extra_trees
roi_aspect_last,0.0011963262999916547,extra_trees
det_speed_accel_first,0.0011953868137812955,extra_trees
conf_b_abs_max,0.0011953550456635486,extra_trees
roi_area_p75,0.001195063815733375,extra_trees
flow_dx_mean_per_sec_peak_to_mean,0.0011895054331735556,extra_trees
flow_mag_median_slope_first_last,0.0011888117195050878,extra_trees
conf_b_last,0.0011867144312092464,extra_trees
det_speed_accel_abs_mean,0.0011859048212281911,extra_trees
flow_mag_accel_jerk_p25,0.0011854863472058237,extra_trees
det_speed_accel_min,0.0011853152619722815,extra_trees
both_detected_delta,0.0011845622051303885,extra_trees
flow_dy_accel_mean,0.0011843597426038509,extra_trees
flow_dy_accel_p10,0.001181398910485911,extra_trees
flow_mag_median_delta,0.001178711259961263,extra_trees
det_dx_slope_first_last,0.0011750761751418944,extra_trees
conf_b_auc,0.0011730137446973622,extra_trees
flow_mag_accel_jerk_first,0.0011715458585452093,extra_trees
roi_width_p10,0.0011687632101658337,extra_trees
conf_a_peak_to_mean,0.0011672134405209158,extra_trees
det_speed_p25,0.001163461945724227,extra_trees
det_speed_norm_per_sec_p10,0.0011610134237974243,extra_trees
